Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data,Sentiment,Prediksi_Sentimen,Kategori
2026-05-17 06:04:31,Beni Gustian,4,Sampai Saat Ini (17 Mei 2026) Belum Dapat Menggunakan Pembayaran E-Wallet Link Aja.,Sampai Saat Ini  Mei  Belum Dapat Menggunakan Pembayaran EWallet Link Aja,sampai saat ini  mei  belum dapat menggunakan pembayaran ewallet link aja,sampai saat ini mei belum dapat menggunakan pembayaran ewallet link saja,"['sampai', 'saat', 'ini', 'mei', 'belum', 'dapat', 'menggunakan', 'pembayaran', 'ewallet', 'link', 'saja']","['mei', 'pembayaran', 'ewallet', 'link']",mei bayar ewallet link,Positif,Positif,Pembayaran
2026-05-17 03:54:11,Qory Knf,1,payah banget mau daftar ngga bisa2 harus panggil sahabat alfa atau apalah itu . ngga memudahkan pelanggan,payah banget mau daftar ngga bisa harus panggil sahabat alfa atau apalah itu  ngga memudahkan pelanggan,payah banget mau daftar ngga bisa harus panggil sahabat alfa atau apalah itu  ngga memudahkan pelanggan,payah banget mau daftar tidak bisa harus panggil sahabat alfa atau apalah itu tidak memudahkan pelanggan,"['payah', 'banget', 'mau', 'daftar', 'tidak', 'bisa', 'harus', 'panggil', 'sahabat', 'alfa', 'atau', 'apalah', 'itu', 'tidak', 'memudahkan', 'pelanggan']","['payah', 'banget', 'daftar', 'panggil', 'sahabat', 'alfa', 'apalah', 'memudahkan', 'pelanggan']",payah banget daftar panggil sahabat alfa apa mudah langgan,Negatif,Negatif,Login & Akun
2026-05-17 03:27:16,Siti wardaniati,3,"pengiriminannya tidak ada kepastian ,kapan da jam berapa, jika untuk di tinggal sebentar keluar takut dikirim utang lagi dan nunggu waktu lebih lama lagi",pengiriminannya tidak ada kepastian kapan da jam berapa jika untuk di tinggal sebentar keluar takut dikirim utang lagi dan nunggu waktu lebih lama lagi,pengiriminannya tidak ada kepastian kapan da jam berapa jika untuk di tinggal sebentar keluar takut dikirim utang lagi dan nunggu waktu lebih lama lagi,pengiriminannya tidak ada kepastian kapan dah jam berapa jika untuk di tinggal sebentar keluar takut dikirim utang lagi dan menunggu waktu lebih lama lagi,"['pengiriminannya', 'tidak', 'ada', 'kepastian', 'kapan', 'dah', 'jam', 'berapa', 'jika', 'untuk', 'di', 'tinggal', 'sebentar', 'keluar', 'takut', 'dikirim', 'utang', 'lagi', 'dan', 'menunggu', 'waktu', 'lebih', 'lama', 'lagi']","['pengiriminannya', 'kepastian', 'dah', 'jam', 'tinggal', 'sebentar', 'takut', 'dikirim', 'utang', 'menunggu']",pengiriminannya pasti dah jam tinggal sebentar takut kirim utang tunggu,Negatif,Negatif,Layanan Pengiriman
2026-05-17 02:26:17,Rian Pekok,1,komplain perihal tidak menerima bukti transaksi tidak ada solusi hanya mengisi berulang2 dan email pun tidak ada jawaban ... payah,komplain perihal tidak menerima bukti transaksi tidak ada solusi hanya mengisi berulang dan email pun tidak ada jawaban  payah,komplain perihal tidak menerima bukti transaksi tidak ada solusi hanya mengisi berulang dan email pun tidak ada jawaban  payah,komplain perihal tidak menerima bukti transaksi tidak ada solusi hanya mengisi berulang dan email pun tidak ada jawaban payah,"['komplain', 'perihal', 'tidak', 'menerima', 'bukti', 'transaksi', 'tidak', 'ada', 'solusi', 'hanya', 'mengisi', 'berulang', 'dan', 'email', 'pun', 'tidak', 'ada', 'jawaban', 'payah']","['komplain', 'perihal', 'menerima', 'bukti', 'transaksi', 'solusi', 'mengisi', 'berulang', 'email', 'payah']",komplain perihal terima bukti transaksi solusi isi ulang email payah,Negatif,Negatif,Customer Service
2026-05-17 01:02:16,Najwa Assyfa,1,"saya memiliki pengalaman buruk tepatnya di Alfa Hayam Wuruk Denpasar customer di abaikan menunggu setengah hari barang tidak di kirim , mengajukan cancel Tdk bisa d dashboard keterangan pesanan sedang di kirim, sekarang bisa cancel dana belum kembali di tanyakan katanya 7 hari kerja , selama itu kah proses nya .sangat kecewa sekarang belanja disini ,.",saya memiliki pengalaman buruk tepatnya di Alfa Hayam Wuruk Denpasar customer di abaikan menunggu setengah hari barang tidak di kirim  mengajukan cancel Tdk bisa d dashboard keterangan pesanan sedang di kirim sekarang bisa cancel dana belum kembali di tanyakan katanya  hari kerja  selama itu kah proses nya sangat kecewa sekarang belanja disini ,saya memiliki pengalaman buruk tepatnya di alfa hayam wuruk denpasar customer di abaikan menunggu setengah hari barang tidak di kirim  mengajukan cancel tdk bisa d dashboard keterangan pesanan sedang di kirim sekarang bisa cancel dana belum kembali di tanyakan katanya  hari kerja  selama itu kah proses nya sangat kecewa sekarang belanja disini ,saya memiliki pengalaman buruk tepatnya di alfa hayam wuruk denpasar customer di abaikan menunggu setengah hari barang tidak di kirim mengajukan cancel tidak bisa di dashboard keterangan pesanan sedang di kirim sekarang bisa cancel dana belum kembali di tanyakan katanya hari kerja selama itu kah proses ya sangat kecewa sekarang belanja disini,"['saya', 'memiliki', 'pengalaman', 'buruk', 'tepatnya', 'di', 'alfa', 'hayam', 'wuruk', 'denpasar', 'customer', 'di', 'abaikan', 'menunggu', 'setengah', 'hari', 'barang', 'tidak', 'di', 'kirim', 'mengajukan', 'cancel', 'tidak', 'bisa', 'di', 'dashboard', 'keterangan', 'pesanan', 'sedang', 'di', 'kirim', 'sekarang', 'bisa', 'cancel', 'dana', 'belum', 'kembali', 'di', 'tanyakan', 'katanya', 'hari', 'kerja', 'selama', 'itu', 'kah', 'proses', 'ya', 'sangat', 'kecewa', 'sekarang', 'belanja', 'disini']","['memiliki', 'pengalaman', 'buruk', 'tepatnya', 'alfa', 'hayam', 'wuruk', 'denpasar', 'customer', 'abaikan', 'menunggu', 'barang', 'kirim', 'mengajukan', 'cancel', 'dashboard', 'keterangan', 'pesanan', 'kirim', 'cancel', 'dana', 'kerja', 'kah', 'proses', 'ya', 'kecewa', 'belanja']",milik alam buruk tepat alfa hayam wuruk denpasar customer abai tunggu barang kirim aju cancel dashboard terang pesan kirim cancel dana kerja kah proses ya kecewa belanja,Negatif,Negatif,Layanan Pengiriman
2026-05-17 00:28:38,Eko Wibowo,3,"Aplikasinya sudah update malah sering crash, lebih baik yg versi sebelumnya. Sekalian utk saran dan masukan, produk dikategori promo, mohon bisa disertakan tanggal promonya dari tanggal berapa dimulai sampai tanggal berakhir. Terima kasih",Aplikasinya sudah update malah sering crash lebih baik yg versi sebelumnya Sekalian utk saran dan masukan produk dikategori promo mohon bisa disertakan tanggal promonya dari tanggal berapa dimulai sampai tanggal berakhir Terima kasih,aplikasinya sudah update malah sering crash lebih baik yg versi sebelumnya sekalian utk saran dan masukan produk dikategori promo mohon bisa disertakan tanggal promonya dari tanggal berapa dimulai sampai tanggal berakhir terima kasih,aplikasinya sudah update malah sering crash lebih baik yang versi sebelumnya sekalian untuk saran dan masukan produk dikategori promo mohon bisa disertakan tanggal promonya dari tanggal berapa dimulai sampai tanggal berakhir terima kasih,"['aplikasinya', 'sudah', 'update', 'malah', 'sering', 'crash', 'lebih', 'baik', 'yang', 'versi', 'sebelumnya', 'sekalian', 'untuk', 'saran', 'dan', 'masukan', 'produk', 'dikategori', 'promo', 'mohon', 'bisa', 'disertakan', 'tanggal', 'promonya', 'dari', 'tanggal', 'berapa', 'dimulai', 'sampai', 'tanggal', 'berakhir', 'terima', 'kasih']","['aplikasinya', 'update', 'crash', 'versi', 'saran', 'masukan', 'produk', 'dikategori', 'promo', 'mohon', 'disertakan', 'tanggal', 'promonya', 'tanggal', 'tanggal', 'terima', 'kasih']",aplikasi update crash versi saran masuk produk kategori promo mohon serta tanggal promonya tanggal tanggal terima kasih,Negatif,Negatif,Login & Akun
2026-05-16 21:22:07,Danu Saputra,5,okkk,okkk,okkk,okkk,['okkk'],['okkk'],okkk,Positif,Positif,Umum
2026-05-16 18:37:04,Ondel Z,1,gak bisa di buka aneh,gak bisa di buka aneh,gak bisa di buka aneh,tidak bisa di buka aneh,"['tidak', 'bisa', 'di', 'buka', 'aneh']","['buka', 'aneh']",buka aneh,Negatif,Negatif,Umum
2026-05-16 16:29:26,Rizal Nurgi,1,"sistem online doang ga bales,gabisa cancel stelah dibayar..",sistem online doang ga balesgabisa cancel stelah dibayar,sistem online doang ga balesgabisa cancel stelah dibayar,sistem online doang tidak balesgabisa cancel setelah dibayar,"['sistem', 'online', 'doang', 'tidak', 'balesgabisa', 'cancel', 'setelah', 'dibayar']","['sistem', 'online', 'doang', 'balesgabisa', 'cancel', 'dibayar']",sistem online doang balesgabisa cancel bayar,Negatif,Negatif,Pembayaran
2026-05-16 15:32:38,M Roni,1,kok punya ku tak mau di buka min aku kasih bintang 1 ya,kok punya ku tak mau di buka min aku kasih bintang  ya,kok punya ku tak mau di buka min aku kasih bintang  ya,kok punya ku tak mau di buka min aku kasih bintang ya,"['kok', 'punya', 'ku', 'tak', 'mau', 'di', 'buka', 'min', 'aku', 'kasih', 'bintang', 'ya']","['ku', 'buka', 'min', 'kasih', 'bintang', 'ya']",ku buka min kasih bintang ya,Negatif,Negatif,Umum
